1   : [[1], [2], [3], [4], [5], [6], [7]]
2   : [[1], [2], [3], [4], [5], [7], [6]]
3   : [[1], [2], [3], [4], [6], [5], [7]]
4   : [[1], [2], [3], [4], [7], [5], [6]]
5   : [[1], [2], [3], [4], [6], [7], [5]]
6   : [[1], [2], [3], [4], [7], [6], [5]]
7   : [[1], [2], [3], [5], [4], [6], [7]]
8   : [[1], [2], [3], [5], [4], [7], [6]]
9   : [[1], [2], [3], [6], [4], [5], [7]]
10  : [[1], [2], [3], [7], [4], [5], [6]]
11  : [[1], [2], [3], [6], [4], [7], [5]]
12  : [[1], [2], [3], [7], [4], [6], [5]]
13  : [[1], [2], [3], [5], [6], [4], [7]]
14  : [[1], [2], [3], [5], [7], [4], [6]]
15  : [[1], [2], [3], [6], [5], [4], [7]]
16  : [[1], [2], [3], [7], [5], [4], [6]]
17  : [[1], [2], [3], [6], [7], [4], [5]]
18  : [[1], [2], [3], [7], [6], [4], [5]]
19  : [[1], [2], [3], [5], [6], [7], [4]]
20  : [[1], [2], [3], [5], [7], [6], [4]]
21  : [[1], [2], [3], [6], [5], [7], [4]]
22  : [[1], [2], [3], [7], [5], [6], [4]]
23  : [[1], [2], [3], [6], [7], [5], [4]]
24  : [[1], [2], [3], [7], [6], [5], [4]]
25  : [[1], [2], [4], [3], [5], [6], [7]]
26  : [[1], [2], [4], [3], [5], [7], [6]]
27  : [[1], [2], [4], [3], [6], [5], [7]]
28  : [[1], [2], [4], [3], [7], [5], [6]]
29  : [[1], [2], [4], [3], [6], [7], [5]]
30  : [[1], [2], [4], [3], [7], [6], [5]]
31  : [[1], [2], [5], [3], [4], [6], [7]]
32  : [[1], [2], [5], [3], [4], [7], [6]]
33  : [[1], [2], [6], [3], [4], [5], [7]]
34  : [[1], [2], [7], [3], [4], [5], [6]]
35  : [[1], [2], [6], [3], [4], [7], [5]]
36  : [[1], [2], [7], [3], [4], [6], [5]]
37  : [[1], [2], [5], [3], [6], [4], [7]]
38  : [[1], [2], [5], [3], [7], [4], [6]]
39  : [[1], [2], [6], [3], [5], [4], [7]]
40  : [[1], [2], [7], [3], [5], [4], [6]]
41  : [[1], [2], [6], [3], [7], [4], [5]]
42  : [[1], [2], [7], [3], [6], [4], [5]]
43  : [[1], [2], [5], [3], [6], [7], [4]]
44  : [[1], [2], [5], [3], [7], [6], [4]]
45  : [[1], [2], [6], [3], [5], [7], [4]]
46  : [[1], [2], [7], [3], [5], [6], [4]]
47  : [[1], [2], [6], [3], [7], [5], [4]]
48  : [[1], [2], [7], [3], [6], [5], [4]]
49  : [[1], [2], [4], [5], [3], [6], [7]]
50  : [[1], [2], [4], [5], [3], [7], [6]]
51  : [[1], [2], [4], [6], [3], [5], [7]]
